id,choices,response,nextquestion,phase3_id,context_id
1,創造的になれる環境をつくる,よし！,じゃあそんなパターンをおすすめするよ！,9,9
2,いい目標に向かう,よし！,じゃあそんなパターンをおすすめするよ！,9,10
3,風通しのいい組織をつくる,よし！,じゃあそんなパターンをおすすめするよ！,9,11
4,主体的に動いてもらう,よし！,じゃあそんなパターンをおすすめするよ！,9,12
5,覚えてもらう,よし！,じゃあそんなパターンをおすすめするよ！,10,13
6,理解してもらう,よし！,じゃあそんなパターンをおすすめするよ！,10,14
7,共感してもらう,よし！,じゃあそんなパターンをおすすめするよ！,10,15
8,説得してもらう,よし！,じゃあそんなパターンをおすすめするよ！,10,16
9,本質を見る,よし！,じゃあそんなパターンをおすすめするよ！,11,17
10,客観視する,よし！,じゃあそんなパターンをおすすめするよ！,11,18
11,ほかの人から学ぶ,よし！,じゃあそんなパターンをおすすめするよ！,11,19
12,多面的に学ぶ,よし！,じゃあそんなパターンをおすすめするよ！,11,20
13,継続する,よし！,じゃあそんなパターンをおすすめするよ！,12,21
14,モチベーションを保つ,よし！,じゃあそんなパターンをおすすめするよ！,12,22
15,リスクを回避する,よし！,じゃあそんなパターンをおすすめするよ！,12,23
16,基本を身につける,よし！,じゃあそんなパターンをおすすめするよ！,12,24
17,軸を持つ,よし！,じゃあそんなパターンをおすすめするよ！,13,25
18,立ち位置を考える,よし！,じゃあそんなパターンをおすすめするよ！,13,26
19,差異化する,よし！,じゃあそんなパターンをおすすめするよ！,13,27
20,学びを設計する,よし！,じゃあそんなパターンをおすすめするよ！,14,28
21,知識を広げる,よし！,じゃあそんなパターンをおすすめするよ！,14,29
22,視点を切り替える,よし！,じゃあそんなパターンをおすすめするよ！,14,30
23,自信をつける,よし！,じゃあそんなパターンをおすすめするよ！,14,31
24,自分ごと化する,よし！,じゃあそんなパターンをおすすめするよ！,15,32
25,世界観をつくる,よし！,じゃあそんなパターンをおすすめするよ！,15,33
26,楽しさを取り入れる,よし！,じゃあそんなパターンをおすすめするよ！,15,34
27,さらにクオリティをあげる,よし！,じゃあそんなパターンをおすすめするよ！,15,35
28,自分の持てる力を最大化する,よし！,じゃあそんなパターンをおすすめするよ！,16,36
29,チームの力を合わせて進める,よし！,じゃあそんなパターンをおすすめするよ！,16,37
30,チーム内で共感を得ながら進める,よし！,じゃあそんなパターンをおすすめするよ！,16,38
